,state,year,count,mean,max,min,median,q25,q75,q0,q100
0,AK,2011,77,65481.9471429,201781.0,27810.0,61942.0,50867.0,71032.0,27810.0,201781.0
1,AK,2012,81,62390.3933333,180690.0,27539.0,58980.0,44803.0,71947.0,27539.0,180690.0
2,AK,2013,53,72045.4441509,229258.0,33779.0,67101.0,47674.0,80392.0,33779.0,229258.0
3,AK,2014,66,70044.8495455,197080.0,29286.0,62836.0,47704.75,78722.75,29286.0,197080.0
4,AK,2015,50,76978.2664,187199.0,42162.0,66165.0,52410.75,76554.75,42162.0,187199.0
5,AK,2016,35,78085.7142857,187200.0,40186.0,58926.0,53456.0,95700.5,40186.0,187200.0
6,AK,2017,28,68906.415,125632.0,41804.62,58793.5,55141.0,85056.0,41804.62,125632.0
7,AL,2011,888,56208.4328829,275044.0,15080.0,48370.5,39229.0,62525.0,15080.0,275044.0
8,AL,2012,939,61933.9542066,343300.0,19670.0,51709.0,38522.0,69493.0,19670.0,343300.0
9,AL,2013,869,63177.375374,262748.0,16770.0,53893.0,39458.0,70949.0,16770.0,262748.0
10,AL,2014,903,63768.3444075,327426.0,17040.0,52978.0,39499.0,72561.0,17040.0,327426.0
11,AL,2015,999,62218.9795295,237453.0,17040.0,52280.0,40706.0,69826.0,17040.0,237453.0
12,AL,2016,974,67257.0648871,275227.0,16850.0,55765.0,41434.0,79102.0,16850.0,275227.0
13,AL,2017,764,66099.5268325,187200.0,17243.0,54330.0,41725.0,80320.0,17243.0,187200.0
14,AR,2011,909,62647.0957096,313418.0,18980.0,50066.0,40581.0,87048.0,18980.0,313418.0
15,AR,2012,760,72946.5381579,297292.0,20363.0,57429.0,43873.5,99954.5,20363.0,297292.0
16,AR,2013,965,77799.7415959,234437.0,18658.0,70658.0,51454.0,104187.0,18658.0,234437.0
17,AR,2014,1289,80108.4375485,269819.0,21500.0,71136.0,49858.0,106621.0,21500.0,269819.0
18,AR,2015,1412,85109.805432,279600.0,18410.0,73372.0,53352.0,112372.0,18410.0,279600.0
19,AR,2016,1569,81750.3836839,203549.0,21237.0,65042.0,50190.0,111363.0,21237.0,203549.0
20,AR,2017,1498,81007.8325768,266157.0,23878.0,64771.0,47819.0,105144.0,23878.0,266157.0
21,AZ,2011,2533,71211.2826688,235000.0,17240.0,60736.0,45594.0,86091.0,17240.0,235000.0
22,AZ,2012,2472,73665.6917476,237474.0,16600.0,63794.0,47965.0,88790.0,16600.0,237474.0
23,AZ,2013,2425,67310.8820619,474260.0,17306.0,61547.0,50461.0,78062.0,17306.0,474260.0
24,AZ,2014,2793,69512.5710705,243547.0,17710.0,62670.0,54330.0,81578.0,17710.0,243547.0
25,AZ,2015,2832,71831.7401836,260000.0,18680.0,64989.5,54885.75,87194.0,18680.0,260000.0
26,AZ,2016,3017,73578.2816042,256838.0,25251.0,70886.0,57180.0,86778.0,25251.0,256838.0
